person,label
4886f805,0.05975110333241779
0297fc1e,0.2802433996482786
2d681dd8,0.0941790325158757
cccea85e,0.34193592759315034
4c8a8b93,0.21021274855082267
29ebb414,0.09002588951763024
3dc1950f,0.30904303260641397
8ea4c165,0.21292037386200122
d8cfe234,0.18601545617326942
d6bc64df,0.19706256951623935
ec9c4059,0.2285017246920732
d21b8e6b,0.07338088305590589
2a724d87,0.059403034597417956
686c49c9,0.5735518362908226
a08d42ea,0.18846753236655803
c98f5cf1,0.3245310065813201
d614c608,0.07409080425001935
e45acd53,0.532559771683097
7d876393,0.28046086829184275
f5af843f,0.26378032020583186
5a724794,0.28938746718190456
00091926,0.3402222353914671
55d1e0ee,0.28975164544954124
f87be219,0.07493979920502296
49c19e32,0.21682160648320312
bb78c182,0.059403034597417956
e2bfe05f,0.07544861462428903
0e9d0ae2,0.08293890660142707
cb68850c,0.0729957597677344
f30ef764,0.08114523742311948
ca5fa859,0.07525172236690991
4f06f2dd,0.10868775168142612
872d9b83,0.7334120108391774
dca7e4fa,0.16207224285462837
3cb2bfc5,0.08888948467739827
0ec008ff,0.6454261483241956
19876c5b,0.2971148935927538
36606944,0.27473265412451864
3c36c384,0.09645383675181296
25ec69e5,0.08012083414739674
02a9fd4c,0.1991749104620002
e9c847d7,0.18474852647612716
8f7d334b,0.18250416871237407
fd683087,0.42259696115302414
aa5593bc,0.21244465836507562
e39a4b4f,0.20525478251971838
8aeb37ef,0.20356764539581698
c76b8417,0.38346088401906164
b51c3897,0.3380072104517046
49013e40,0.3753450475667879
18ad1f7c,0.2593726749223184
ea679233,0.7365532184587081
39df97e0,0.48268584869934716
4473cb91,0.11578956245196108
a90bb821,0.3702299084990087
66f3c5a8,0.14410814818809886
6972936f,0.2065954816781002
f484e20b,0.6764634923776912
bb5c496a,0.3219783203406237
fa15dd75,0.5164921548276986
8036d563,0.09196481954506217
051b11a7,0.21177431746334818
a708f6b7,0.1299472809933011
8af64425,0.4162928258618202
290a4ade,0.2838378040543963
5ea8fd22,0.17627424364820096
73f02c61,0.3422646098471923
b364ac0f,0.29658218716993645
27c4deeb,0.26720425607737663
1a8f3e6d,0.34912989812862
75aea7ed,0.16426510711792533
68bee360,0.36323567276443525
7363f782,0.3920647243428418
5f5a1be2,0.2993274420523239
f2ab91ec,0.33483882554918765
f7e13865,0.2711876996700964
f70a331b,0.32871498364945945
69fe770b,0.16304214443327752
73b5ddeb,0.4485725157696472
3aae4375,0.2921364213934318
2beddf66,0.14748390068190043
17b858f9,0.17159899804475576
f75b14e8,0.13910246532669165
67ec6a13,0.6955055955577127
2466dcee,0.7137984472934364
bbac557c,0.28415963726177457
57d078f9,0.614782098993218
6791adff,0.25428540664073773
2fca45c7,0.4813483782049365
ee7d1909,0.21332539071458503
b87bf3c0,0.44971057775504664
229a0726,0.22473250415876805
e28fa553,0.4173415851308113
e2d69e04,0.281971886579643
f99328eb,0.3312369964631756
7a98e5bb,0.14153262470936379
60d720a3,0.11914307306895774
8f6d708a,0.2613513824021244
91a293e8,0.38172218632641497
dbff7610,0.23132549548161205
c104bc78,0.5116847623241241
b3bf2435,0.5299386120425408
8611216e,0.37001580284097474
2454293c,0.27607553752696196
82d31364,0.2907548238283778
f1f2d6aa,0.2626416139647225
45599974,0.49549182673523096
b8112306,0.11397439851449724
7e317918,0.14947787103808283
a30504be,0.19564653599737736
f88200f4,0.4836842757642329
97267956,0.33464652982736925
2fec9bbc,0.3928348308769851
4e5d317d,0.09628387299642216
f8e37457,0.23037447453494408
9411a009,0.1394904880045738
166bf528,0.6826641183748279
5429fbb6,0.16060874658587979
49ff6d6e,0.33538017810760457
19c94e0b,0.33872000544497016
0ff75b46,0.6108334928072237
224613bb,0.38588009134379253
179720f1,0.26798926532746736
1070bca3,0.23774172260054266
a5d31df5,0.15239928748673265
4e5c868d,0.3764901844837544
653f68fe,0.1137687558354456
3ebc771d,0.6289362844196686
